day,shift type,type,Season,media,rep,log shift
1,share table,Not Inoculated,Summer,sma,1,0
1,share table,Not Inoculated,Summer,sma,2,0
1,share table,Not Inoculated,Summer,sma,3,0
2,share table,Not Inoculated,Summer,sma,4,0
1,overnight,Not Inoculated,Summer,sma,1,0
1,overnight,Not Inoculated,Summer,sma,2,0.27
1,overnight,Not Inoculated,Summer,sma,3,0
1,overnight,Not Inoculated,Summer,sma,4,0
2,share table,Not Inoculated,Summer,sma,1,-0.0015
2,share table,Not Inoculated,Summer,sma,2,-0.081
2,share table,Not Inoculated,Summer,sma,3,0.28
2,share table,Not Inoculated,Summer,sma,4,0.02
2,overnight,Not Inoculated,Summer,sma,1,0.69
2,overnight,Not Inoculated,Summer,sma,2,0.48
2,overnight,Not Inoculated,Summer,sma,3,0.43
2,overnight,Not Inoculated,Summer,sma,4,0.52
3,share table,Not Inoculated,Summer,sma,1,0.12
3,share table,Not Inoculated,Summer,sma,2,0.13
3,share table,Not Inoculated,Summer,sma,3,-0.0043
3,share table,Not Inoculated,Summer,sma,4,0.33
3,overnight,Not Inoculated,Summer,sma,1,0.57
3,overnight,Not Inoculated,Summer,sma,2,0.7
3,overnight,Not Inoculated,Summer,sma,3,0.8
3,overnight,Not Inoculated,Summer,sma,4,0.59
4,share table,Not Inoculated,Summer,sma,1,0.21
4,share table,Not Inoculated,Summer,sma,2,0.19
4,share table,Not Inoculated,Summer,sma,3,0.09
4,share table,Not Inoculated,Summer,sma,4,0.16
4,overnight,Not Inoculated,Summer,sma,1,0.47
4,overnight,Not Inoculated,Summer,sma,2,0.58
4,overnight,Not Inoculated,Summer,sma,3,0.67
4,overnight,Not Inoculated,Summer,sma,4,0.49
5,share table,Not Inoculated,Summer,sma,1,0.4
5,share table,Not Inoculated,Summer,sma,2,0.31
5,share table,Not Inoculated,Summer,sma,3,0.42
5,share table,Not Inoculated,Summer,sma,4,0.26
1,share table,Inoculated,Summer A,sma,1,0
1,share table,Inoculated,Summer A,sma,2,0
1,share table,Inoculated,Summer A,sma,3,0
2,share table,Inoculated,Summer A,sma,4,0
1,overnight,Inoculated,Summer A,sma,1,0.7
1,overnight,Inoculated,Summer A,sma,2,0.73
1,overnight,Inoculated,Summer A,sma,3,0.49
1,overnight,Inoculated,Summer A,sma,4,0.33
2,share table,Inoculated,Summer A,sma,1,0.16
2,share table,Inoculated,Summer A,sma,2,-0.065
2,share table,Inoculated,Summer A,sma,3,0.2
2,share table,Inoculated,Summer A,sma,4,0.35
2,overnight,Inoculated,Summer A,sma,1,1.13
2,overnight,Inoculated,Summer A,sma,2,1.02
2,overnight,Inoculated,Summer A,sma,3,0.95
2,overnight,Inoculated,Summer A,sma,4,1.03
3,share table,Inoculated,Summer A,sma,1,0.18
