Min,tempM,Rtemp
,4,4.7
,4,15.1
,5.1,19.6
,5.5,21.3
,5.9,22.2
,6.3,22.3
,6.3,22.3
,6.5,22.4
,6.7,22.4
,6.9,22.4
,7.1,22.4
,7.4,22.5
,7.7,22.4
,8,22.4
,8.1,22.6
,8.3,22.7
,8.5,22.7
,8.8,22.7
,8.9,22.6
,9.1,22.6
,9.3,22.8
,9.4,22.6
,9.6,22.6
,9.8,22.7
,10,22.6
,10.2,22.6
,10.3,22.6
,10.5,22.7
,10.7,22.6
,10.9,22.6
,11,22.9
,11.2,23
,11.4,22.8
,11.5,22.7
,11.6,22.6
,11.8,22.7
,12,22.8
,12.1,22.8
,12.2,22.8
,12.4,22.9
,12.5,22.9
,12.7,23
,12.8,23
,12.9,23.1
,13,23.1
,13.2,23.1
,13.2,23
,13.3,23.1
,13.5,23.1
,13.6,23.2
,13.7,23.2
,13.9,23.2
,13.9,23.2
,14.1,23.2
,14.1,23.2
,14.3,23.3
,14.3,23.1
,14.5,23.2
,14.5,23.1
,14.7,23.1
,14.7,23.1
,14.9,23.1
,14.9,23
,15,23
,15.1,23
,15.1,23.1
,15.2,23.2
,15.3,23.1
,15.4,23.1
,15.4,23.2
,15.6,23.1
,15.6,23
,15.7,23
,15.7,23
,15.8,23
,15.9,23
,15.9,23
,15.9,23
,16,23
,16.1,22.9
,16.2,23
,16.2,23
,16.2,23
,16.3,22.9
,16.3,23
,16.5,23
,16.5,23
,16.5,22.9
,16.6,22.9
,16.6,22.9
,16.6,22.9
,16.7,22.9
,16.8,23.1
,16.8,23.1
,16.8,23.2
,16.8,23.2
,16.8,23.1
,16.9,23.1
,17,23
,17,23
,17.1,23
,17.3,22.9
,17.3,22.8
,17.4,22.8
,17.5,22.9
,17.5,22.8
,17.6,22.8
,17.6,22.8
,17.8,22.9
,17.8,22.9
,17.9,23.1
,17.9,23.2
,18,23
,18,22.9
,18,23.1
,18.1,23.1
,18.2,23
,18.3,23.1
,18.3,23.2
,18.3,23.2
,18.5,23.3
,18.5,23.3
,18.5,23.3
,18.6,23.3
,18.7,23.3
,18.7,23.3
,18.7,23.3
,18.8,23.4
,18.9,23.3
,19,23.4
,19,23.4
,19.1,23.4
,19.1,23.4
,19.2,23.5
,19.2,23.4
,19.3,23.4
,19.3,23.4
,19.3,23.4
,19.5,23.4
,19.5,23.4
,19.5,23.4
,19.5,23.3
,23.1,16.2
,19.6,4.5
,19.3,3.7
,18.9,3.4
,18.5,3.1
,18.3,2.9
,18,2.8
,17.8,2.6
,17.5,2.5
,17.3,2.9
,17.1,3.3
,16.9,3.5
,16.7,3.6
,16.5,3.8
,16.3,3.9
,16.1,3.9
