Min,tempM,Rtemp
,4.5,8.4
,4.5,7.1
,4.5,5.9
,4.5,5.2
,4.5,5
,4.5,13.8
,4.5,16.7
,4.7,18.3
,5.1,19.4
,5.2,20.1
,5.5,20.5
,5.8,20.8
,6.1,21.1
,6.3,21.2
,6.6,21.5
,6.8,21.6
,7,21.8
,7.3,21.9
,7.5,21.9
,7.7,22
,8,22.1
,8.2,22.2
,8.5,22.2
,8.6,22.2
,8.8,22.2
,9,22.3
,9.2,22.3
,9.4,22.3
,9.6,22.3
,9.7,22.3
,9.9,22.3
,10.1,22.4
,10.2,22.4
,10.4,22.3
,10.6,22.4
,10.8,22.4
,10.9,22.3
,11,22.4
,11.2,22.3
,11.3,22.3
,11.5,22.3
,11.6,22.4
,11.8,22.3
,11.9,22.3
,12,22.3
,12.2,22.3
,12.3,22.3
,12.4,22.4
,12.5,22.4
,12.7,22.3
,12.8,22.3
,12.9,22.3
,13,22.3
,13.2,22.3
,13.3,22.3
,13.4,22.3
,13.5,22.3
,13.6,22.4
,13.8,22.4
,13.9,22.4
,14,22.4
,14.1,22.4
,14.2,22.4
,14.3,22.4
,14.4,22.4
,14.5,22.4
,14.7,22.4
,14.8,22.4
,14.8,22.4
,14.9,22.3
,14.9,22.3
,15.1,22.3
,15.1,22.3
,15.3,22.3
,15.4,22.3
,15.4,22.3
,15.5,22.2
,15.6,22.2
,15.6,22.2
,15.8,22.2
,15.9,22.2
,15.9,22.2
,16,22.3
,16.1,22.3
,16.2,22.3
,16.2,22.3
,16.3,22.3
,16.4,22.3
,16.5,22.3
,16.6,22.3
,16.6,22.3
,16.7,22.3
,16.8,22.3
,16.9,22.3
,16.9,22.3
,17,22.4
,17,22.4
,17.1,22.4
,17.1,22.4
,17.2,22.4
,17.3,22.4
,17.4,22.4
,17.4,22.4
,17.5,22.3
,17.5,22.3
,17.6,22.3
,17.7,22.4
,17.7,22.4
,17.8,22.5
,17.8,22.5
,17.9,22.5
,17.9,22.4
,18,22.4
,18,22.4
,18.1,22.4
,18.1,22.4
,18.2,22.4
,18.2,22.4
,18.3,22.4
,18.3,22.4
,18.4,22.4
,18.4,22.4
,18.5,22.4
,18.5,22.4
,18.6,22.4
,18.6,22.4
,18.7,22.4
,18.7,22.4
,18.8,22.4
,18.8,22.4
,18.9,21.4
,19.1,17.8
,19,15.1
,18.7,12.9
,18.5,10.9
,18.3,9.3
,18.2,8
,18,7.1
,17.8,6.3
,17.6,5.8
,17.5,5.4
,17.3,5.3
,17.1,5.2
,16.9,5.1
,16.8,5
,16.6,5
,16.5,4.9
,16.3,5
,16.2,5
,16,5.1
,15.8,5.2
,15.7,5.3
,15.5,5.3
,15.3,5.4
,15.2,5.3
,15.1,5.2
,15,5
,14.8,4.8
,14.6,4.6
,14.4,4.4
,14.3,4.2
,14.1,3.9
,13.9,3.8
,13.8,3.6
,13.7,3.4
,13.5,3.4
,13.3,3.4
,13.2,3.5
,13.1,3.6
,13,3.8
,12.9,3.9
,12.7,3.9
,12.5,4
,12.4,4.2
,12.3,4.3
,12.2,4.5
,12.1,4.5
,12,4.6
,11.9,4.8
,11.8,5
,11.8,5
,11.7,5.1
,11.6,5.1
,11.5,5
,11.4,4.8
,11.3,4.6
,11.2,4.5
,11.1,4.2
,11,4.1
,10.9,3.9
,10.8,3.7
,10.6,3.6
,10.6,3.4
,10.5,3.3
,10.4,3.2
,10.4,3.3
,10.2,3.4
,10.1,3.6
,10,3.6
,10,3.8
,9.9,3.9
,9.8,4
,9.7,4.1
,9.7,4.2
,9.6,4.4
,9.5,4.5
,9.5,4.6
,9.4,4.7
,9.3,4.8
,9.2,4.9
,9.2,5
,9.2,5.1
,9.2,5
,9.1,4.8
,9.1,4.6
,9,4.5
,8.9,4.3
,8.8,4.1
,8.8,4
,8.7,3.9
,8.6,3.8
,8.6,3.8
,8.5,3.7
,8.4,3.5
,8.3,3.2
,8.3,3
,8.2,3
,8.1,3
,8,3
,8,3
,7.9,3.1
,7.9,3.1
,7.8,3.3
,7.7,3.4
,7.7,3.4
,7.7,3.5
,7.6,3.6
,7.5,3.7
,7.5,3.7
,7.4,3.8
,7.4,3.8
,7.4,3.9
,7.3,4
,7.3,4.1
,7.2,4.1
,7.2,4.2
,7.2,4.2
,7.1,4.2
,7,4.3
,7,4.3
,7,4.4
,7,4.5
,6.9,4.6
,6.9,4.6
,6.9,4.6
,6.8,4.7
,6.8,4.7
,6.8,4.7
,6.7,4.8
,6.8,4.8
,6.7,4.9
,6.6,4.9
,6.6,4.9
,6.6,5
,6.6,5
,6.6,5
,6.6,4.9
,6.5,4.8
,6.5,4.5
,6.5,4.2
,6.5,4
,6.4,3.8
,6.4,3.5
,6.3,3.3
,6.3,3
,6.2,2.9
,6.2,2.9
,6.2,3
,6.1,2.9
,6.1,3
,6.1,3.1
,6,3.1
,6,3.3
,6,3.4
,6,3.5
,5.9,3.5
,6,3.7
,5.9,3.7
,5.8,3.8
,5.8,3.8
,5.8,3.9
,5.8,4
,5.7,4.1
,5.8,4.1
,5.7,4.2
,5.7,4.2
,5.7,4.3
,5.6,4.3
,5.7,4.3
,5.6,4.4
,5.7,4.5
,5.6,4.6
,5.5,4.6
,5.6,4.7
,5.5,4.7
,5.5,4.7
,5.6,4.8
,5.6,4.8
,5.5,4.9
,5.6,4.9
,5.5,4.9
,5.5,4.9
,5.5,5
,5.5,5
,5.5,5.1
,5.5,5.1
,5.5,4.9
,5.5,4.7
,5.4,4.5
,5.5,4.2
,5.4,4
,5.4,3.7
,5.4,3.6
,5.4,3.3
,5.3,3
,5.3,2.9
,5.3,2.9
,5.3,3
,5.2,2.9
,5.2,3
,5.2,3.1
,5.2,3.2
,5.1,3.3
,5.1,3.4
,5.1,3.5
,5.1,3.6
,5.1,3.7
,5.1,3.7
,5,3.8
,5,3.8
,5,3.9
,5,4
,5,4.1
,5,4.1
,5,4.2
,5,4.2
,5,4.3
,4.9,4.3
,5,4.4
,4.9,4.4
,5,4.6
,5,4.6
,4.9,4.6
,5,4.7
,4.9,4.7
,4.9,4.8
,4.9,4.8
,4.9,4.8
,4.9,4.9
,4.9,4.9
,4.9,4.9
,4.8,5
,4.9,4.9
,4.9,4.8
,4.9,4.6
,4.9,4.4
,4.9,4.1
,4.9,3.9
,4.9,3.6
,4.9,3.4
,4.9,3.1
,4.8,2.9
,4.8,2.9
,4.8,2.9
,4.8,2.9
,4.7,3
,4.7,3
,4.7,3.1
,4.7,3.3
,4.7,3.3
,4.6,3.4
,4.7,3.5
,4.7,3.6
,4.7,3.7
,4.7,3.7
,4.6,3.8
,4.7,3.8
,4.6,3.9
,4.7,4.1
,4.6,4.1
,4.6,4.1
,4.6,4.2
,4.6,4.2
,4.6,4.3
,4.6,4.3
,4.6,4.4
,4.6,4.4
,4.7,4.6
,4.6,4.6
,4.5,4.6
,4.5,4.7
,4.6,4.7
,4.5,4.7
,4.6,4.8
,4.6,4.8
,4.6,4.9
,4.6,4.9
,4.6,4.9
,4.5,5
,4.6,4.9
,4.6,4.8
,4.6,4.6
,4.6,4.3
,4.6,4.1
,4.5,3.9
,4.6,3.6
,4.6,3.4
,4.6,3.1
,4.5,2.9
,4.5,2.9
,4.5,2.8
,4.5,2.9
,4.5,3
,4.5,3.1
,4.5,3.1
,4.5,3.2
,4.4,3.3
,4.5,3.4
,4.4,3.5
,4.5,3.6
,4.4,3.7
,4.5,3.7
,4.4,3.8
,4.4,3.8
,4.4,4
,4.5,4
,4.4,4.1
,4.4,4.1
,4.4,4.2
,4.4,4.2
,4.4,4.3
,4.4,4.3
,4.3,4.4
,4.4,4.5
,4.3,4.6
,4.4,4.6
,4.4,4.6
,4.4,4.7
,4.4,4.7
,4.4,4.7
,4.4,4.8
,4.4,4.8
,4.3,4.9
,4.4,4.9
,4.4,4.9
,4.3,5
,4.3,4.9
,4.3,4.7
,4.4,4.5
,4.4,4.3
,4.4,4.1
,4.4,3.8
,4.3,3.6
,4.4,3.3
,4.4,3
,4.4,2.9
,4.4,2.9
,4.4,2.9
,4.3,2.9
,4.4,3
,4.3,3.1
,4.3,3.1
,4.3,3.3
,4.4,3.4
,4.3,3.4
,4.4,3.5
,4.3,3.6
,4.3,3.7
,4.3,3.7
,4.3,3.8
,4.2,3.8
,4.3,4
,4.3,4.1
,4.3,4.1
,4.2,4.1
,4.3,4.2
,4.2,4.2
,4.3,4.3
,4.2,4.3
,4.2,4.4
,4.3,4.5
,4.3,4.6
,4.3,4.6
,4.2,4.6
,4.3,4.7
,4.3,4.7
,4.2,4.7
,4.3,4.8
,4.3,4.8
,4.3,4.9
,4.3,4.9
,4.3,4.9
,4.2,5
,4.2,4.8
,4.3,4.6
,4.4,4.5
,4.3,4.2
,4.3,4
,4.3,3.7
,4.3,3.5
,4.3,3.2
,4.3,3
,4.3,2.9
,4.3,2.9
,4.3,2.9
,4.3,2.9
,4.3,3
,4.3,3.1
,4.3,3.1
,4.2,3.3
,4.3,3.4
,4.2,3.4
,4.3,3.5
,4.2,3.7
,4.2,3.7
,4.2,3.8
,4.2,3.8
,4.2,3.8
,4.2,4
,4.2,4.1
,4.2,4.1
,4.2,4.1
,4.2,4.2
,4.1,4.2
,4.2,4.3
,4.2,4.3
,4.2,4.4
,4.2,4.5
,4.3,4.6
,4.2,4.6
,4.2,4.6
,4.2,4.7
,4.2,4.7
,4.2,4.7
,4.2,4.8
,4.2,4.8
,4.3,4.9
,4.2,4.9
,4.2,4.9
,4.2,4.9
,4.2,4.8
,4.2,4.6
,4.2,4.4
,4.2,4.2
,4.3,3.9
,4.3,3.7
,4.2,3.5
,4.2,3.2
,4.2,2.9
,4.2,2.8
,4.3,2.8
,4.2,2.9
,4.2,2.9
,4.2,3
,4.2,3.1
,4.2,3.1
,4.2,3.3
,4.2,3.4
,4.2,3.4
,4.2,3.6
,4.2,3.6
,4.2,3.7
,4.2,3.7
,4.2,3.8
,4.2,3.8
,4.2,3.9
,4.2,4.1
,4.2,4.1
,4.1,4.1
,4.1,4.2
,4.1,4.2
,4.2,4.3
,4.1,4.3
,4.1,4.4
,4.2,4.5
,4.2,4.6
,4.2,4.6
,4.2,4.6
,4.2,4.7
,4.2,4.7
,4.1,4.7
,4.2,4.8
,4.2,4.8
,4.2,4.9
,4.2,4.9
,4.2,4.9
,4.2,4.9
,4.2,4.8
,4.2,4.6
,4.2,4.4
,4.2,4.1
,4.2,3.9
,4.2,3.7
,4.2,3.4
,4.2,3.1
,4.2,2.9
,4.2,2.9
,4.2,2.9
,4.3,2.9
,4.2,3
,4.2,3
,4.2,3.1
,4.2,3.3
,4.2,3.4
,4.2,3.4
,4.2,3.5
,4.2,3.6
,4.2,3.7
,4.2,3.7
,4.1,3.8
,4.1,3.8
,4.1,3.9
,4.2,4
,4.1,4.1
,4.1,4.1
,4.1,4.2
,4.1,4.2
,4.2,4.3
,4.2,4.3
,4.1,4.4
,4.2,4.4
,4.1,4.5
,4.2,4.5
,4.1,4.6
,4.1,4.7
,4.2,4.7
,4.1,4.7
,4.1,4.8
,4.2,4.8
,4.1,4.9
,4.2,4.9
,4.2,4.9
,4.1,5
,4.2,4.8
,4.2,4.6
,4.2,4.4
,4.2,4.3
,4.2,4.2
,4.3,4.3
,4.3,4.3
,4.2,4.3
,4.2,4.4
,4.3,4.4
,4.3,4.4
,4.3,4.5
,4.2,4.5
,4.2,4.5
,4.3,4.6
,4.2,4.7
,4.3,4.8
,4.3,4.8
,4.3,4.8
,4.3,4.9
,4.3,4.9
,4.3,5
,4.3,5
,4.3,5
,4.3,5
,4.3,5.1
,4.3,5.1
,4.3,5.2
,4.4,5.2
,4.3,5.2
,4.4,5.3
,4.4,5.3
,4.4,5.4
,4.4,5.2
,4.4,5
,4.4,4.7
,4.4,4.5
,4.4,4.3
,4.5,4
,4.5,3.8
,4.4,3.5
,4.5,3.3
,4.5,3
,4.5,2.9
,4.5,2.9
,4.5,3
,4.6,3
,4.5,3.1
,4.5,3.2
,4.4,3.3
,4.5,3.4
,4.5,3.5
,4.4,3.6
,4.5,3.7
,4.4,3.8
,4.4,3.9
,4.4,3.9
,4.4,4
