min,tempM,tempR
1,5.1,4.5
2,5.1,3.9
3,5,3.6
4,5,3.3
5,5,3
6,5,2.8
7,5,2.6
8,5,2.4
9,5,2.2
10,4.9,2
11,4.8,1.9
12,4.8,1.7
13,4.7,1.5
14,4.7,1.8
15,4.7,2.2
16,4.7,2.4
17,4.6,2.6
18,4.6,2.8
19,4.5,3
20,4.6,3.3
21,4.5,3.4
22,4.5,3.5
23,4.5,3.7
24,4.5,3.8
25,4.5,3.9
26,4.6,4
27,4.5,4.1
28,4.5,4.1
29,4.5,4.3
30,4.5,4.4
31,4.5,4.4
32,4.5,4.5
33,4.5,4.6
34,4.5,4.7
35,4.4,4.7
36,4.5,4.6
37,4.5,3.9
38,4.4,3.3
39,4.4,3
40,4.4,2.7
41,4.4,2.4
42,4.4,2.2
43,4.4,2
44,4.3,1.8
45,4.3,1.6
46,4.3,1.6
47,4.3,2.1
48,4.3,2.3
49,4.2,2.6
50,4.2,2.8
51,4.2,3.1
52,4.2,3.2
53,4.1,3.3
54,4.2,3.4
55,4.1,3.5
56,4.1,3.6
57,4.1,3.7
58,4.1,3.9
59,4.1,3.9
60,4.1,4.1
61,4.1,4.1
62,4.1,4.2
63,4.1,4.3
64,4.1,4.4
65,4.1,4.4
66,4.1,4.5
67,4.1,4.5
68,4.1,4.6
69,4.2,4.8
70,4.1,4.8
71,4.1,4.7
72,4.1,4
73,4.2,3.5
74,4.1,3
75,4.1,2.7
76,4.1,2.4
77,4.1,2.2
78,4.1,1.9
79,4,1.7
80,4,1.5
81,4,1.8
82,4,2.1
83,4,2.4
84,3.9,2.6
85,3.9,2.9
86,3.9,3.1
87,3.9,3.2
88,3.9,3.4
89,3.9,3.4
90,3.8,3.5
91,3.8,3.7
92,3.9,3.8
93,3.8,3.9
94,3.8,4
95,3.8,4.1
96,3.8,4.8
97,3.9,5.3
98,3.9,4.3
99,3.9,3.7
100,3.9,3.2
101,3.8,2.8
102,3.8,2.6
103,3.8,2.3
104,3.8,2.1
105,3.8,1.9
106,3.8,1.7
107,3.8,1.8
108,3.8,2.2
109,3.8,2.5
110,3.7,2.8
111,3.7,3
112,3.7,3.2
113,3.7,3.4
114,3.7,3.6
115,3.7,3.7
116,3.7,3.8
117,3.7,4
118,3.6,4.1
119,3.7,4.2
120,3.7,4.3
121,3.8,4.4
122,3.7,4.5
123,3.8,4.6
124,3.8,4.7
125,3.7,4.8
126,3.8,4.9
127,3.8,5
128,3.8,4.7
129,3.8,4
130,3.9,3.6
131,3.9,3.1
132,3.9,2.9
133,3.8,2.6
134,3.8,2.3
135,3.7,2.1
136,3.7,1.9
137,3.7,1.8
138,3.7,2.1
139,3.7,2.5
140,3.8,2.8
141,3.7,3
142,3.8,3.3
143,3.7,3.4
144,3.7,3.5
145,3.7,3.7
146,3.7,3.9
147,3.6,4
148,3.7,4.1
149,3.7,4.3
150,3.8,4.4
151,3.7,4.4
152,3.7,4.6
153,3.8,4.7
154,3.7,4.7
155,3.8,4.8
156,3.8,5
157,3.8,5
158,3.8,4.7
159,3.9,4
160,3.8,3.5
161,3.9,3.2
