min,tempM,Rtemp
1,5,2.7
2,4.3,2.7
3,4.4,2.8
4,4.6,2.7
5,4.8,2.7
6,5.1,2.8
7,5.3,2.9
8,5.2,2.8
9,5.1,2.9
10,5.1,3
11,5.1,3
12,5.2,3
13,5.3,3.1
14,5.2,3.1
15,5.3,3.1
16,5.5,3.1
17,5.7,3.2
18,5.1,3.2
19,4.5,3.3
20,3.9,3.3
21,3.6,3.4
22,3.3,3.3
23,3,3.3
24,2.7,3.3
25,2.4,3.3
26,2.2,3.3
27,2.1,3.3
28,2.7,3.3
29,3.3,3.3
30,3.6,3.3
31,3.7,3.4
32,3.8,3.4
33,3.8,3.4
34,3.9,3.4
35,4,3.4
36,4.1,3.4
37,4.2,3.4
38,4.5,3.5
39,4.9,3.5
40,5.2,3.5
41,5.4,3.6
42,5.3,3.6
43,5.3,3.6
44,5.3,3.6
45,5.2,3.6
46,4.9,3.6
47,4.4,3.6
48,4,3.6
49,3.6,3.6
50,3.3,3.6
51,3.5,3.6
52,3.3,3.6
53,3.4,3.6
54,3.2,3.6
55,2.9,3.6
56,2.6,3.6
57,2.4,3.6
58,2.4,3.6
59,2.7,3.6
60,3,3.6
61,3.1,3.7
62,3.2,3.6
63,3.5,3.6
64,3.9,3.6
65,4.1,3.7
66,4.1,3.6
67,4.2,3.7
68,4.2,3.7
69,4.3,3.6
70,4.4,3.7
71,4.4,3.7
72,4.5,3.7
73,4.6,3.7
74,4.6,3.7
75,4.7,3.7
76,4.7,3.7
77,4.9,3.8
78,4.9,3.7
79,5,3.8
80,5,3.8
81,5,3.8
82,5.1,3.8
83,5.1,3.8
84,5.2,3.9
85,4.9,3.9
86,4.4,3.9
87,4,3.9
88,3.7,3.8
89,3.4,3.9
90,3,3.9
91,2.8,3.9
92,2.6,3.9
93,2.5,3.9
94,2.3,3.9
95,2.3,3.8
96,2.6,3.8
97,2.8,3.8
98,3,3.8
99,3.2,3.8
100,3.4,3.8
101,3.6,3.8
102,3.7,3.9
103,3.8,3.8
104,3.9,3.8
105,4,3.8
106,4.1,3.8
107,4.2,3.9
108,4.3,3.9
109,4.4,3.9
