Min,tempM,Rtemp
1,4.2,1.3
2,4.2,5.8
3,4.4,14.4
4,4.7,17.3
5,5.1,19.1
6,5.3,20.2
7,5.7,20.8
8,5.9,21.1
9,6.2,21.4
10,6.4,21.5
11,6.7,21.6
12,6.9,21.7
13,7.1,21.7
14,7.4,21.7
15,7.6,21.8
16,7.8,21.7
17,8,21.9
18,8.2,21.9
19,8.4,22
20,8.6,22
21,8.7,22
22,8.9,22
23,9.1,21.9
24,9.3,22
25,9.4,21.9
26,9.6,21.9
27,9.8,22
28,9.9,22
29,10.1,22
30,10.2,21.9
31,10.3,21.9
32,10.5,21.9
33,10.6,21.9
34,10.8,22
35,10.9,22
36,11.1,22
37,11.2,22
38,11.3,22
39,11.5,22
40,11.6,22
41,11.7,22
42,11.8,22
43,12,22
44,12,22
45,12.2,22
46,12.3,22
47,12.4,22
48,12.6,22
49,12.6,22
50,12.7,22
51,12.9,22
52,13,22
53,13.1,22
54,13.2,22
55,13.4,22
56,13.4,22
57,13.5,22
58,13.6,22
59,13.7,22
60,13.8,22
61,13.9,22.1
62,14,22.1
63,14.1,22.1
64,14.2,22.1
65,14.3,22.1
66,14.4,22.2
67,14.5,22.2
68,14.6,22.1
69,14.6,22.1
70,14.7,22.1
71,14.8,22.1
72,14.9,22.1
73,14.9,22.1
74,15.1,22.2
75,15.2,22.2
76,15.2,22.2
77,15.3,22.1
78,15.4,22.1
79,15.4,22.1
80,15.5,22.1
81,15.6,22.1
82,15.6,22.1
83,15.7,22.1
84,15.9,22.2
85,15.9,22.2
86,16,22.2
87,16.1,22.2
88,16.1,22.2
89,16.2,22.2
90,16.2,22.2
91,16.3,22.2
92,16.4,22.2
93,16.4,22.2
94,16.6,22.3
95,16.6,22.3
96,16.6,22.4
97,16.7,22.4
98,16.7,22.4
99,16.8,22.4
100,16.8,22.4
101,16.9,22.4
102,17,22.4
103,17.1,22.4
104,17.1,22.4
105,17.2,22.4
106,17.2,22.4
107,17.3,22.3
108,17.3,22.3
109,17.3,22.3
110,17.4,22.4
111,17.4,22.4
112,17.5,22.4
113,17.5,22.4
114,17.6,22.4
115,17.7,22.4
116,17.7,22.4
117,17.8,22.4
118,17.9,22.5
119,17.9,22.5
120,18,22.5
121,18,22.5
122,18.1,22.5
123,18.1,22.5
124,18.1,22.5
125,18.1,22.5
126,18.1,22.1
127,18.3,14.1
128,18.2,9.5
129,18,7.2
130,17.9,5.8
131,17.7,4.8
132,17.6,4
133,17.5,3.5
134,17.4,3
135,17.2,2.6
136,17.1,2.3
137,17,2.2
138,16.9,2.3
139,16.7,2.4
140,16.6,2.7
141,16.5,2.9
142,16.3,3.1
143,16.2,3.2
144,16.1,3.4
145,16,3.7
146,15.9,3.9
147,15.8,4
148,15.7,4.1
149,15.6,4.2
150,15.5,4.3
151,15.4,4.4
152,15.3,4.5
153,15.2,4.6
154,15.1,4.8
155,15,5
156,14.9,5
157,14.8,5
158,14.8,5.1
159,14.6,5.1
160,14.5,5.1
161,14.5,4.7
162,14.4,4.1
163,14.2,3.7
164,14.1,3.3
165,14,3
166,13.9,2.7
167,13.7,2.4
168,13.6,2.2
169,13.5,2
170,13.4,1.7
171,13.3,1.9
172,13.2,2.5
173,13.2,2.8
174,13.1,3
175,13,3.2
176,12.8,3.3
177,12.7,3.5
178,12.7,3.7
179,12.6,3.8
180,12.5,3.9
181,12.5,4.1
182,12.4,4.3
183,12.3,4.3
184,12.3,4.4
185,12.2,4.5
186,12.1,4.6
187,12.1,4.8
188,12,4.8
189,11.9,4.9
190,11.8,4.9
191,11.7,5
192,11.8,5.1
193,11.7,5.2
194,11.6,5.1
195,11.5,4.7
196,11.4,4.1
197,11.4,3.7
198,11.2,3.3
199,11.2,2.9
200,11.1,2.6
201,11,2.4
202,10.9,2.2
203,10.9,2
204,10.8,1.8
205,10.7,1.9
206,10.6,2.2
207,10.6,2.5
208,10.5,2.7
209,10.4,2.9
210,10.4,3.1
211,10.3,3.2
212,10.3,3.5
213,10.2,3.6
214,10.1,3.8
215,10.1,3.9
216,10,4
217,9.9,4.1
218,9.9,4.2
219,9.8,4.3
220,9.8,4.4
221,9.7,4.5
222,9.7,4.5
223,9.7,4.6
224,9.6,4.7
225,9.6,4.8
226,9.5,4.8
227,9.5,4.9
228,9.4,5
229,9.3,5
230,9.3,5
231,9.3,5.1
232,9.2,4.5
233,9.2,4
234,9.1,3.6
235,9.1,3.1
236,9,2.8
237,9,2.6
238,8.9,2.3
239,8.8,2.1
240,8.7,1.9
241,8.6,1.7
242,8.6,2
243,8.6,2.2
244,8.6,2.5
245,8.4,2.7
246,8.5,3
247,8.4,3.1
248,8.3,3.4
249,8.3,3.5
250,8.3,3.7
251,8.2,3.7
252,8.1,3.8
253,8.1,3.9
254,8.2,4.1
255,8.1,4.2
256,8,4.2
257,8,4.4
258,8,4.4
259,8,4.5
260,7.9,4.6
261,7.9,4.7
262,7.9,4.7
263,7.9,4.8
264,7.8,4.9
265,7.8,5
266,7.7,5
267,7.7,5
268,7.7,5.1
269,7.6,5.1
270,7.6,4.6
271,7.6,4
272,7.5,3.6
273,7.5,3.2
274,7.4,2.9
275,7.4,2.6
276,7.3,2.3
277,7.3,2.1
278,7.2,1.9
279,7.2,1.7
280,7.1,1.8
281,7.1,2.1
282,7.1,2.3
283,7,2.6
284,7,2.8
285,7,3
286,6.9,3.2
287,6.9,3.4
288,6.9,3.5
289,6.9,3.7
290,6.9,3.8
291,6.9,3.9
292,6.8,4
293,6.8,4.1
294,6.8,4.2
295,6.7,4.2
296,6.7,4.4
297,6.7,4.4
298,6.7,4.7
299,6.7,4.9
300,6.6,4.9
301,6.6,4.9
302,6.6,5
303,6.6,5
304,6.6,5.1
305,6.6,4.8
306,6.5,4.2
307,6.5,3.7
308,6.5,3.4
309,6.4,3
310,6.4,2.6
311,6.3,2.4
312,6.3,2.2
313,6.2,2
314,6.2,1.8
315,6.1,1.9
316,6.1,2.1
317,6.1,2.4
318,6.1,2.6
319,6.1,2.8
320,6,3
321,6,3.1
322,6,3.3
323,6,3.5
324,5.9,3.6
325,6,3.7
326,5.9,3.8
327,6,4
328,5.9,4
329,5.9,4.1
330,5.9,4.2
331,5.9,4.3
332,5.9,4.4
333,5.8,4.4
334,5.9,4.5
335,5.8,4.6
336,5.9,4.7
337,5.8,4.7
338,5.8,4.7
339,5.8,4.8
340,5.9,5
341,5.8,5
342,5.8,5
343,5.8,4.7
344,5.8,4.1
345,5.7,3.6
346,5.7,3.3
347,5.7,2.9
348,5.6,2.9
349,5.6,2.6
350,5.6,2.4
351,5.5,2.1
352,5.5,1.9
353,5.5,1.7
354,5.4,1.8
355,5.4,2.1
356,5.4,2.3
357,5.4,2.6
358,5.4,2.8
359,5.3,2.9
360,5.3,3.1
361,5.3,3.4
362,5.3,3.4
363,5.2,3.5
364,5.3,3.7
365,5.2,3.8
366,5.3,3.9
367,5.2,4
368,5.3,4.1
369,5.2,4.1
370,5.2,4.2
371,5.2,4.3
372,5.3,4.5
373,5.2,4.5
374,5.2,4.6
375,5.2,4.6
376,5.2,4.8
377,5.2,4.8
378,5.2,4.8
379,5.2,4.9
380,5.2,4.9
381,5.2,5
382,5.2,5
383,5.2,5.2
384,5.2,5.2
385,5.1,5.2
386,5.2,5.3
387,5.2,5.3
388,5.2,5.4
389,5.2,5.4
390,5.1,5.4
391,5.2,5.5
392,5.2,5.5
393,5.2,5.6
394,5.2,5.7
395,5.1,5.7
396,5.2,5.8
397,5.2,5.8
398,5.2,5.9
399,5.2,5.9
400,5.2,5.9
401,5.2,6
402,5.2,6
403,5.3,6.1
404,5.3,6.1
405,5.2,6.1
406,5.3,6.2
407,5.3,6.2
408,5.2,6.2
409,5.3,6.3
410,5.3,6.3
411,5.3,6.1
412,5.3,5.4
413,5.3,4.9
414,5.2,4.4
415,5.2,4.1
416,5.2,3.7
417,5.2,3.4
418,5.1,3.2
419,5.1,2.9
420,5.1,2.7
421,5.1,2.5
422,5.1,2.3
423,5.1,2.1
424,5.1,2
425,5,1.7
426,5,1.8
427,4.9,2.1
428,5,2.4
429,5,2.7
430,5,2.9
431,5,3.1
432,5,3.3
433,4.9,3.5
434,5,3.7
435,4.9,3.8
436,5,4
437,5,4
438,4.9,4.1
439,4.9,4.2
440,4.9,4.3
441,5,4.4
442,4.9,4.5
443,5,4.6
444,4.9,4.7
445,5,4.8
446,4.9,4.8
447,4.9,4.8
448,4.9,5
449,4.9,4.9
450,4.9,4.5
451,4.8,4
452,4.9,3.6
453,4.9,3.2
454,4.8,2.9
455,4.8,2.6
456,4.8,2.4
457,4.8,2.2
458,4.8,2
459,4.7,1.7
460,4.7,1.8
461,4.6,2
462,4.7,2.3
463,4.7,2.6
464,4.7,2.8
465,4.6,3
466,4.6,3.1
467,4.6,3.3
468,4.6,3.5
469,4.6,3.6
470,4.6,3.7
471,4.6,3.8
472,4.6,4
473,4.6,4
474,4.6,4.1
475,4.6,4.2
476,4.6,4.4
477,4.6,4.4
478,4.6,4.4
479,4.6,4.6
480,4.6,4.6
481,4.6,4.7
482,4.6,4.7
483,4.6,4.9
484,4.6,4.9
485,4.6,5
486,4.6,5
487,4.6,4.5
488,4.6,3.9
489,4.6,3.5
490,4.5,3.1
491,4.5,2.8
492,4.5,2.6
493,4.5,2.3
494,4.4,2
495,4.5,1.9
496,4.4,1.7
497,4.4,1.9
498,4.4,2.2
499,4.4,2.3
500,4.4,2.6
501,4.4,2.8
502,4.4,3
503,4.4,3.2
504,4.4,3.4
505,4.3,3.5
506,4.3,3.5
507,4.3,3.7
508,4.4,3.9
509,4.3,3.9
510,4.3,4
511,4.3,4.1
512,4.3,4.2
513,4.3,4.3
514,4.3,4.4
515,4.3,4.5
516,4.3,4.5
517,4.3,4.6
518,4.3,4.7
519,4.4,4.8
520,4.3,4.8
521,4.4,4.9
522,4.4,4.9
523,4.4,5.1
524,4.4,4.7
525,4.4,4.2
526,4.4,3.7
527,4.3,3.3
528,4.3,3
529,4.3,2.7
530,4.3,2.4
531,4.3,2.2
532,4.3,2
533,4.2,1.7
534,4.2,1.8
535,4.2,2.1
536,4.2,2.3
537,4.2,2.5
538,4.2,2.8
539,4.2,2.9
540,4.2,3.1
541,4.1,3.3
542,4.2,3.5
543,4.2,3.5
544,4.1,3.6
545,4.2,3.8
546,4.2,3.9
547,4.2,4
548,4.2,4.1
549,4.2,4.2
550,4.1,4.2
551,4.2,4.3
552,4.2,4.4
553,4.2,4.5
554,4.1,4.5
555,4.2,4.7
556,4.2,4.7
557,4.2,4.8
558,4.2,4.8
559,4.2,4.9
560,4.2,5
561,4.3,5
562,4.3,4.6
563,4.3,4.1
564,4.2,3.6
565,4.2,3.2
566,4.1,2.9
567,4.1,2.6
568,4.1,2.3
569,4.1,2
570,4.1,1.9
571,4,1.7
572,4,1.8
573,4,2.1
574,4.1,2.4
575,4.1,2.6
576,4.1,2.8
577,4.1,3
578,4,3.1
579,4,3.4
580,4.1,3.5
581,4,3.6
582,4,3.6
583,4,3.8
584,4,3.9
585,4,4
586,4,4.1
587,4,4.2
588,4,4.2
589,4.1,4.4
590,4,4.4
591,4.1,4.5
592,4,4.5
593,4.1,4.7
594,4.1,4.7
595,4.2,4.8
596,4.1,4.8
597,4.1,4.9
598,4.1,5
599,4.1,5
600,4.2,4.5
601,4.2,4
602,4.1,3.5
603,4.1,3.1
604,4.1,2.9
605,4,2.5
606,4,2.3
607,4,2
608,4,1.9
609,3.9,1.6
610,4,1.8
611,3.9,2.1
612,4,2.4
613,4,2.6
614,3.9,2.8
615,4,3
616,4,3.1
617,3.9,3.3
618,3.9,3.4
619,3.9,3.5
620,3.9,3.6
621,4,3.8
622,3.9,3.9
623,4,4
624,3.9,4.1
625,4,4.2
626,3.9,4.2
627,4,4.4
628,3.9,4.4
629,4,4.5
630,4,4.5
631,4,4.6
632,4,4.7
633,4,4.7
634,4,4.8
635,4,4.8
636,4.1,5
637,4,5
638,4.1,4.8
639,4.1,4.2
640,4,3.6
641,4,3.1
642,4,2.8
643,4,2.4
644,3.9,2.2
645,3.9,1.9
646,3.9,1.7
647,3.8,1.6
648,3.8,1.8
649,3.8,2.1
650,3.9,2.3
651,3.9,2.5
652,3.9,2.7
653,3.9,2.8
654,3.9,3
655,3.9,3.1
656,3.8,3.2
657,3.9,3.3
658,3.8,3.4
659,3.8,3.4
660,3.9,3.6
661,3.8,3.6
662,3.8,3.7
663,3.9,3.8
664,3.8,3.8
665,3.8,3.9
666,3.9,4
667,3.8,4
668,3.8,4
669,3.9,4.1
670,3.8,4.2
671,3.8,4.2
672,3.9,4.3
673,3.9,4.3
674,3.9,4.4
675,3.9,4.4
676,3.9,4.4
677,3.9,4.5
678,3.9,4.6
679,3.9,4.6
680,3.9,4.6
681,4,4.7
682,3.9,4.7
683,3.9,4.7
684,4,4.8
685,4,4.8
686,3.9,4.8
687,4,4.9
688,4,4.9
689,4,4.4
690,4,3.9
691,4,3.4
692,3.9,3
693,3.9,2.6
694,3.9,2.3
695,3.8,2.1
696,3.8,1.8
697,3.8,1.6
698,3.8,1.6
699,3.8,1.8
700,3.8,2.1
701,3.8,2.3
702,3.8,2.6
703,3.8,2.7
704,3.8,2.9
705,3.8,3
706,3.8,3.1
707,3.8,3.2
708,3.8,3.4
