,diff,lwr,upr,p adj,Comparison,Result,Explanation
2:overnight:Summer A-1:overnight:Summer A,0.47,0.028586969,0.911413031,0.022237618,Summer A - Summer A,Overnight 1 and 2 are different,Longer lag phase
3:overnight:Summer A-1:overnight:Summer A,0.7825,0.341086969,1.223913031,2.82E-07,Summer A - Summer A,Overnight 1 and 3 are different,Longer lag phase
1:share table:Summer A-1:overnight:Summer A,-0.5625,-1.039280566,-0.085719434,0.004575595,Summer A - Summer A,ST Day 1 and Overnight 1 are different,Time difference
2:share table:Summer A-1:overnight:Summer A,-0.4335,-0.85226117,-0.01473883,0.032452976,Summer A - Summer A,ST Day 2 and Overnight 1 are different,Time difference
5:share table:Summer A-1:overnight:Summer A,-0.4293,-0.870713031,0.012113031,0.069024471,Summer A - Summer A,ST Day 5 and Overnight 1 are different,Time difference
2:overnight:Summer B-1:overnight:Summer A,0.4225,-0.018913031,0.863913031,0.082226236,N/A,N/A,N/A
3:overnight:Summer B-1:overnight:Summer A,0.785,0.343586969,1.226413031,2.56E-07,N/A,N/A,N/A
1:share table:Summer B-1:overnight:Summer A,-0.5625,-1.039280566,-0.085719434,0.004575595,N/A,N/A,N/A
2:share table:Summer B-1:overnight:Summer A,-0.4145,-0.83326117,0.00426117,0.05643765,N/A,N/A,N/A
4:share table:Summer B-1:overnight:Summer A,-0.50375,-0.945163031,-0.062336969,0.007913817,N/A,N/A,N/A
1:overnight:Winter-1:overnight:Summer A,0.644166667,0.167386101,1.120947233,0.000339243,Winter - Summer A,The first overnight in winter and the first overnight in summer A are different,Longer lag phase in summer A
2:overnight:Winter-1:overnight:Summer A,0.5475,0.070719434,1.024280566,0.007162908,N/A,N/A,N/A
3:overnight:Winter-1:overnight:Summer A,0.6175,0.140719434,1.094280566,0.000814486,N/A,N/A,N/A
5:share table:Winter-1:overnight:Summer A,-0.4947,-0.971480566,-0.017919434,0.031492521,N/A,N/A,N/A
1:Refrigerated Control:Summer A-2:overnight:Summer A,-0.8725,-1.570435284,-0.174564716,0.001620276,Summer A - Summer A,The refrigerated control day 1 is different from overnight day 2,Longer lag phase of refrigerated control causing significant difference between the second day of ST milks
1:share table:Summer A-2:overnight:Summer A,-1.0325,-1.509280566,-0.555719434,1.96E-10,Summer A - Summer A,ST Day 1 is different from Overnight Day 2,Time difference
2:share table:Summer A-2:overnight:Summer A,-0.9035,-1.32226117,-0.48473883,2.38E-10,Summer A - Summer A,ST Day 2 is different from Overnight Day 2,Time difference
3:share table:Summer A-2:overnight:Summer A,-0.77075,-1.212163031,-0.329336969,4.49E-07,Summer A - Summer A,ST Day 3 is different from Overnight Day 2,Time difference
4:share table:Summer A-2:overnight:Summer A,-0.8535,-1.294913031,-0.412086969,1.67E-08,Summer A - Summer A,ST Day 4 is different from Overnight Day 2,Time difference
5:share table:Summer A-2:overnight:Summer A,-0.8993,-1.340713031,-0.457886969,2.61E-09,Summer A - Summer A,ST Day 5 is different from Overnight Day 2,Time difference
1:share table:Summer B-2:overnight:Summer A,-1.0325,-1.509280566,-0.555719434,1.96E-10,N/A,N/A,N/A
2:share table:Summer B-2:overnight:Summer A,-0.8845,-1.30326117,-0.46573883,6.34E-10,N/A,N/A,N/A
3:share table:Summer B-2:overnight:Summer A,-0.86175,-1.303163031,-0.420336969,1.20E-08,N/A,N/A,N/A
4:share table:Summer B-2:overnight:Summer A,-0.97375,-1.415163031,-0.532336969,5.33E-11,N/A,N/A,N/A
5:share table:Summer B-2:overnight:Summer A,-0.7375,-1.178913031,-0.296086969,1.65E-06,N/A,N/A,N/A
1:share table:Winter-2:overnight:Summer A,-0.9025,-1.379280566,-0.425719434,3.43E-08,N/A,N/A,N/A
2:share table:Winter-2:overnight:Summer A,-0.893833333,-1.370613899,-0.417052767,4.72E-08,N/A,N/A,N/A
3:share table:Winter-2:overnight:Summer A,-0.878833333,-1.355613899,-0.402052767,8.20E-08,N/A,N/A,N/A
4:share table:Winter-2:overnight:Summer A,-0.7625,-1.239280566,-0.285719434,5.63E-06,N/A,N/A,N/A
5:share table:Winter-2:overnight:Summer A,-0.9647,-1.441480566,-0.487919434,3.36E-09,N/A,N/A,N/A
4:overnight:Summer A-3:overnight:Summer A,-0.565,-1.006413031,-0.123586969,0.001028677,Summer A - Summer A,Overnight Day 4 is different from Overnight Day 3,Approaching stationary phase
1:Refrigerated Control:Summer A-3:overnight:Summer A,-1.185,-1.882935284,-0.487064716,1.04E-06,Summer A - Summer A,The refrigerated control day 1 is different from overnight day 3,Longer lag phase of refrigerated control causing significant difference between the second day of ST milks
1:share table:Summer A-3:overnight:Summer A,-1.345,-1.821780566,-0.868219434,0,Summer A - Summer A,ST Day 1 is different from Overnight Day 3,Time difference
2:share table:Summer A-3:overnight:Summer A,-1.216,-1.63476117,-0.79723883,0,Summer A - Summer A,ST Day 2 is different from Overnight Day 3,Time difference
3:share table:Summer A-3:overnight:Summer A,-1.08325,-1.524663031,-0.641836969,0,Summer A - Summer A,ST Day 3 is different from Overnight Day 3,Time difference
4:share table:Summer A-3:overnight:Summer A,-1.166,-1.607413031,-0.724586969,0,Summer A - Summer A,ST Day 4 is different from Overnight Day 3,Time difference
5:share table:Summer A-3:overnight:Summer A,-1.2118,-1.653213031,-0.770386969,0,Summer A - Summer A,ST Day 5 is different from Overnight Day 3,Time difference
1:overnight:Summer B-3:overnight:Summer A,-0.6975,-1.138913031,-0.256086969,7.79E-06,N/A,,
4:overnight:Summer B-3:overnight:Summer A,-0.7075,-1.148913031,-0.266086969,5.30E-06,N/A,,
1:Refrigerated Control:Summer B-3:overnight:Summer A,-0.955,-1.652935284,-0.257064716,0.000257839,N/A,,
1:share table:Summer B-3:overnight:Summer A,-1.345,-1.821780566,-0.868219434,0,N/A,,
2:share table:Summer B-3:overnight:Summer A,-1.197,-1.61576117,-0.77823883,0,N/A,,
3:share table:Summer B-3:overnight:Summer A,-1.17425,-1.615663031,-0.732836969,0,N/A,,
4:share table:Summer B-3:overnight:Summer A,-1.28625,-1.727663031,-0.844836969,0,N/A,,
5:share table:Summer B-3:overnight:Summer A,-1.05,-1.491413031,-0.608586969,0,N/A,,
4:overnight:Winter-3:overnight:Summer A,-0.638333333,-1.115113899,-0.161552767,0.000411656,N/A,,
1:Refrigerated Control:Winter-3:overnight:Summer A,-0.725,-1.422935284,-0.027064716,0.031021969,N/A,,
1:share table:Winter-3:overnight:Summer A,-1.215,-1.691780566,-0.738219434,0,N/A,,
2:share table:Winter-3:overnight:Summer A,-1.206333333,-1.683113899,-0.729552767,0,N/A,,
3:share table:Winter-3:overnight:Summer A,-1.191333333,-1.668113899,-0.714552767,0,N/A,,
4:share table:Winter-3:overnight:Summer A,-1.075,-1.551780566,-0.598219434,0,N/A,,
5:share table:Winter-3:overnight:Summer A,-1.2772,-1.753980566,-0.800419434,0,N/A,,
1:share table:Summer A-4:overnight:Summer A,-0.78,-1.256780566,-0.303219434,3.01E-06,Summer A - Summer A,ST Day 1 is different from Overnight Day 4,Time difference
2:share table:Summer A-4:overnight:Summer A,-0.651,-1.06976117,-0.23223883,1.20E-05,Summer A - Summer A,ST Day 2 is different from Overnight Day 4,Time difference
3:share table:Summer A-4:overnight:Summer A,-0.51825,-0.959663031,-0.076836969,0.004967834,Summer A - Summer A,ST Day 3 is different from Overnight Day 4,Time difference
4:share table:Summer A-4:overnight:Summer A,-0.601,-1.042413031,-0.159586969,0.000287296,Summer A - Summer A,ST Day 4 is different from Overnight Day 4,Time difference
5:share table:Summer A-4:overnight:Summer A,-0.6468,-1.088213031,-0.205386969,5.34E-05,Summer A - Summer A,ST Day 5 is different from Overnight Day 4,Time difference
3:overnight:Summer B-4:overnight:Summer A,0.5675,0.126086969,1.008913031,0.00094298,N/A,,
1:share table:Summer B-4:overnight:Summer A,-0.78,-1.256780566,-0.303219434,3.01E-06,N/A,,
2:share table:Summer B-4:overnight:Summer A,-0.632,-1.05076117,-0.21323883,2.57E-05,N/A,,
3:share table:Summer B-4:overnight:Summer A,-0.60925,-1.050663031,-0.167836969,0.000213114,N/A,,
4:share table:Summer B-4:overnight:Summer A,-0.72125,-1.162663031,-0.279836969,3.11E-06,N/A,,
5:share table:Summer B-4:overnight:Summer A,-0.485,-0.926413031,-0.043586969,0.014181542,N/A,,
1:share table:Winter-4:overnight:Summer A,-0.65,-1.126780566,-0.173219434,0.000279292,N/A,,
2:share table:Winter-4:overnight:Summer A,-0.641333333,-1.118113899,-0.164552767,0.000372715,N/A,,
3:share table:Winter-4:overnight:Summer A,-0.626333333,-1.103113899,-0.149552767,0.000610897,N/A,,
4:share table:Winter-4:overnight:Summer A,-0.51,-0.986780566,-0.033219434,0.020858173,N/A,,
5:share table:Winter-4:overnight:Summer A,-0.7122,-1.188980566,-0.235419434,3.33E-05,N/A,,
3:Refrigerated Control:Summer A-1:Refrigerated Control:Summer A,1,0.117173938,1.882826062,0.008908744,Summer A - Summer A,RC day 3 is different from RC day 1,Longer lag phase
2:overnight:Summer B-1:Refrigerated Control:Summer A,0.825,0.127064716,1.522935284,0.004428175,N/A,,
3:overnight:Summer B-1:Refrigerated Control:Summer A,1.1875,0.489564716,1.885435284,9.74E-07,N/A,,
1:overnight:Winter-1:Refrigerated Control:Summer A,1.046666667,0.325842205,1.767491128,6.64E-05,N/A,,
2:overnight:Winter-1:Refrigerated Control:Summer A,0.95,0.229175538,1.670824462,0.000571568,N/A,,
3:overnight:Winter-1:Refrigerated Control:Summer A,1.02,0.299175538,1.740824462,0.000121482,N/A,,
2:Refrigerated Control:Winter-1:Refrigerated Control:Summer A,0.99,0.107173938,1.872826062,0.010418595,Winter - Summer A,,
3:Refrigerated Control:Winter-1:Refrigerated Control:Summer A,0.88,-0.002826062,1.762826062,0.051951793,Winter - Summer A,,
4:Refrigerated Control:Winter-1:Refrigerated Control:Summer A,1,0.117173938,1.882826062,0.008908744,Winter - Summer A,,
1:share table:Summer A-2:Refrigerated Control:Summer A,-0.84,-1.560824462,-0.119175538,0.005629434,Summer A - Summer A,ST Day 1 is different from RC Day 2,
2:share table:Summer A-2:Refrigerated Control:Summer A,-0.711,-1.394834128,-0.027165872,0.030653077,Summer A - Summer A,ST Day 2 is different from RC Day 2,
4:share table:Summer A-2:Refrigerated Control:Summer A,-0.661,-1.358935284,0.036935284,0.091971622,Summer A - Summer A,ST Day 4 is different from RC Day 2,
5:share table:Summer A-2:Refrigerated Control:Summer A,-0.7068,-1.404735284,-0.008864716,0.0428787,Summer A - Summer A,ST Day 5 is different from RC Day 2,
1:share table:Summer B-2:Refrigerated Control:Summer A,-0.84,-1.560824462,-0.119175538,0.005629434,N/A,,
2:share table:Summer B-2:Refrigerated Control:Summer A,-0.692,-1.375834128,-0.008165872,0.043278025,N/A,,
3:share table:Summer B-2:Refrigerated Control:Summer A,-0.66925,-1.367185284,0.028685284,0.080629074,N/A,,
4:share table:Summer B-2:Refrigerated Control:Summer A,-0.78125,-1.479185284,-0.083314716,0.010712637,N/A,,
1:share table:Winter-2:Refrigerated Control:Summer A,-0.71,-1.430824462,0.010824462,0.059747247,N/A,,
2:share table:Winter-2:Refrigerated Control:Summer A,-0.701333333,-1.422157795,0.019491128,0.068706332,N/A,,
3:share table:Winter-2:Refrigerated Control:Summer A,-0.686333333,-1.407157795,0.034491128,0.086950935,N/A,,
5:share table:Winter-2:Refrigerated Control:Summer A,-0.7722,-1.493024462,-0.051375538,0.020426396,N/A,,
1:share table:Summer A-3:Refrigerated Control:Summer A,-1.16,-1.880824462,-0.439175538,4.75E-06,Summer A - Summer A,ST Day 1 is different from RC Day 3,
2:share table:Summer A-3:Refrigerated Control:Summer A,-1.031,-1.714834128,-0.347165872,2.64E-05,Summer A - Summer A,ST Day 2 is different from RC Day 3,
3:share table:Summer A-3:Refrigerated Control:Summer A,-0.89825,-1.596185284,-0.200314716,0.000923361,Summer A - Summer A,ST Day 3 is different from RC Day 3,
4:share table:Summer A-3:Refrigerated Control:Summer A,-0.981,-1.678935284,-0.283064716,0.000141649,Summer A - Summer A,ST Day 4 is different from RC Day 3,
5:share table:Summer A-3:Refrigerated Control:Summer A,-1.0268,-1.724735284,-0.328864716,4.84E-05,Summer A - Summer A,ST Day 5 is different from RC Day 3,
1:share table:Summer B-3:Refrigerated Control:Summer A,-1.16,-1.880824462,-0.439175538,4.75E-06,N/A,,
2:share table:Summer B-3:Refrigerated Control:Summer A,-1.012,-1.695834128,-0.328165872,4.19E-05,N/A,,
3:share table:Summer B-3:Refrigerated Control:Summer A,-0.98925,-1.687185284,-0.291314716,0.000116934,N/A,,
4:share table:Summer B-3:Refrigerated Control:Summer A,-1.10125,-1.799185284,-0.403314716,8.10E-06,N/A,,
5:share table:Summer B-3:Refrigerated Control:Summer A,-0.865,-1.562935284,-0.167064716,0.001904486,N/A,,
1:share table:Winter-3:Refrigerated Control:Summer A,-1.03,-1.750824462,-0.309175538,9.69E-05,N/A,,
2:share table:Winter-3:Refrigerated Control:Summer A,-1.021333333,-1.742157795,-0.300508872,0.000117886,N/A,,
3:share table:Winter-3:Refrigerated Control:Summer A,-1.006333333,-1.727157795,-0.285508872,0.000165123,N/A,,
