,diff,lwr,upr,p adj,Season,Result,Explanation
2:overnight:Summer-1:overnight:Summer,0.4625,0.221383019,0.703616981,5.09E-07,Summer - Summer,Overnight 1 and 2 are different,Makes sense because larger shift for overnight 2
3:overnight:Summer-1:overnight:Summer,0.5975,0.356383019,0.838616981,4.32E-10,Summer - Summer,Overnight 1 and 3 are different,Makes sense because larger shift for overnight 3
4:overnight:Summer-1:overnight:Summer,0.485,0.243883019,0.726116981,1.52E-07,Summer - Summer,Overnight 1 and 4 are different,Makes sense because larger shift for overnight 4
5:share table:Summer-1:overnight:Summer,0.28,0.038883019,0.521116981,0.008391347,Summer - Summer,ST 5 and ON 1 are different,
1:Refrigerated Control:Summer-2:overnight:Summer,-0.53,-0.911239421,-0.148760579,0.000501098,Summer - Summer,RC 1 and ON 2 are different,
2:Refrigerated Control:Summer-2:overnight:Summer,-0.53,-0.911239421,-0.148760579,0.000501098,Summer - Summer,,
1:share table:Summer-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,Summer - Summer,,
2:share table:Summer-2:overnight:Summer,-0.4865,-0.715243652,-0.257756348,3.44E-08,Summer - Summer,,
3:share table:Summer-2:overnight:Summer,-0.386075,-0.627191981,-0.144958019,3.25E-05,Summer - Summer,,
4:share table:Summer-2:overnight:Summer,-0.3675,-0.608616981,-0.126383019,8.89E-05,Summer - Summer,,
1:overnight:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,Winter - Summer,All winter ONs are different from summer ON 2,
2:overnight:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,Winter - Summer,,
3:overnight:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,Winter - Summer,,
4:overnight:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,Winter - Summer,,
1:Refrigerated Control:Winter-2:overnight:Summer,-0.53,-0.911239421,-0.148760579,0.000501098,N/A,,
2:Refrigerated Control:Winter-2:overnight:Summer,-0.53,-0.911239421,-0.148760579,0.000501098,N/A,,
3:Refrigerated Control:Winter-2:overnight:Summer,-0.53,-0.911239421,-0.148760579,0.000501098,N/A,,
4:Refrigerated Control:Winter-2:overnight:Summer,-0.53,-0.911239421,-0.148760579,0.000501098,N/A,,
2:share table:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,N/A,,
3:share table:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,N/A,,
4:share table:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,N/A,,
5:share table:Winter-2:overnight:Summer,-0.53,-0.790436105,-0.269563895,1.12E-07,N/A,,
1:Refrigerated Control:Summer-3:overnight:Summer,-0.665,-1.046239421,-0.283760579,4.96E-06,Summer - Summer,,
2:Refrigerated Control:Summer-3:overnight:Summer,-0.665,-1.046239421,-0.283760579,4.96E-06,Summer - Summer,,
